Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48,35.83
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28,219.25
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45,97.78
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17,219.58
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38,57.94
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55,102.76
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56,73.51
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37,21.8
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62,32.76
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17,20.13
India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66,3838.79
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,3036.42
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61,294.68
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17,119.49
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71,4.11
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9,637.57
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11,135.62
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22,272.21
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11,27.78
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18,479.82
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58,83.35
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28,66.46
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21,112.19
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17,63.07
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59,29.13
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41,36.09
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71,83.89
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3,120.14
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63,197.13
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27,454.26
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11,138.12
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3,61.72
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32,285.62
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71,71.63
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61,5.37
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47,39.29
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41,69.86
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46,320.75
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13,85.33
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12,97.94
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47,238.87
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68,102.01
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24,7.32
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2,78.67
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42,38.2
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7,215.55
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25,78.02
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2,22.19
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50,103.79
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59,104.11
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49,163.49
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69,101360.54
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23,19.53
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,30.53
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19,226.05
Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62,743.55
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29,21.52
France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31,91.06
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12,408.21
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8,78.64
UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72,123.08
Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13,62.15
Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1,80.13
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41,25.05
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10,54.78
Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49,167.31
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7,425.85
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67,21.93
Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54,25.86
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32,594.1
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5,207.66
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7,29.57
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38,36.3
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29,246.61
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35,59.78
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69,16.09
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7,230.87
Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28,30.8
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65,49.9
UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56,212.88
China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71,149.75
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13,97.63
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2,950.05
UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59,271.86
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55,15.91
China,2023,DDoS,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50,132.21
Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4,9045.44
UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19,105.77
Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4,56.46
China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15,18.39
USA,2019,DDoS,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30,162.29
USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5,120.41
USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4,105.27
Brazil,2017,DDoS,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9,136.31
USA,2017,DDoS,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4,122.01
France,2015,SQL Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64,607.29
France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53,66.59
Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16,107.87
Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58,167.75
UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11,16.22
UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31,247.99
India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62,239.68
China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46,142.76
Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6,30.84
India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72,29.89
Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61,131.01
UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63,96.36
Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33,361.07
Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21,24.98
USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36,55.59
France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14,208.44
Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28,31.56
India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27,11.32
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30,127.08
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28,908.36
France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29,217.65
Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21,233.36
China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50,165.0
Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54,545.51
Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61,24.52
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58,116.88
UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42,29.54
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32,248.07
India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18,57.48
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49,146.95
Brazil,2024,SQL Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5,78.92
China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47,16.92
Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19,82.07
France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37,28.36
India,2021,SQL Injection,IT,52.16,100105,Unknown,Zero-day,Firewall,56,521.05
USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8,1506.11
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41,390.44
Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70,11.86
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15,25.46
UK,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14,22.49
France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29,425.96
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31,96.89
Japan,2021,SQL Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22,42.46
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25,249.56
Brazil,2019,SQL Injection,Government,24.93,381105,Unknown,Weak Passwords,Encryption,3,65.42
UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42,123.34
Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56,338.55
India,2023,DDoS,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35,59.39
UK,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42,164.63
Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12,48.23
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67,119.98
Australia,2016,Phishing,IT,55.18,66776,Unknown,Zero-day,Encryption,29,826.34
China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21,192.04
France,2024,SQL Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10,3.41
Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47,80.93
USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35,29.98
Russia,2017,Man-in-the-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20,4440.07
Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14,49.34
USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53,349.31
USA,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60,22.04
USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63,104.16
Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65,124.8
Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29,173.12
China,2024,SQL Injection,Education,13.61,394335,Unknown,Zero-day,Encryption,43,34.51
Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15,96.8
Germany,2015,DDoS,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26,108.47
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18,2024.33
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43,109.44
UK,2023,DDoS,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56,66.92
Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39,136.09
Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62,4.4
France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5,1414.95
USA,2016,DDoS,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37,23.58
Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35,5.29
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70,66.99
France,2021,Malware,Telecommunications,68.64,894858,Hacker Group,Social Engineering,Firewall,19,76.7
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32,132.05
USA,2015,DDoS,Healthcare,62.99,232622,Nation-state,Weak Passwords,Antivirus,33,270.78
India,2015,Malware,Retail,89.95,917351,Unknown,Zero-day,Encryption,43,98.05
Australia,2024,SQL Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48,141.59
India,2017,Ransomware,Government,38.87,968822,Nation-state,Weak Passwords,Antivirus,25,40.12
Brazil,2015,DDoS,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65,19.32
Australia,2019,DDoS,Education,54.63,22739,Insider,Unpatched Software,Firewall,44,2402.48
UK,2015,Man-in-the-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29,12.05
Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40,223.49
Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72,18.58
France,2015,Ransomware,IT,84.02,824619,Unknown,Social Engineering,Firewall,21,101.89
Russia,2016,SQL Injection,Government,77.94,538804,Hacker Group,Weak Passwords,VPN,43,144.65
Japan,2023,Phishing,Healthcare,49.32,463704,Hacker Group,Weak Passwords,Firewall,14,106.36
China,2021,Man-in-the-Middle,Telecommunications,66.61,596341,Insider,Weak Passwords,AI-based Detection,9,111.7
Brazil,2020,Malware,Retail,89.71,529588,Nation-state,Weak Passwords,AI-based Detection,65,169.4
Germany,2018,Man-in-the-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5,1945.96
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24,49.78
Japan,2019,Malware,IT,33.61,52191,Nation-state,Weak Passwords,Antivirus,72,643.98
Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29,34.01
Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72,92.64
Brazil,2021,Ransomware,Healthcare,67.25,796351,Nation-state,Weak Passwords,AI-based Detection,21,84.45
Japan,2020,SQL Injection,Telecommunications,38.29,505831,Hacker Group,Social Engineering,Encryption,40,75.7
Germany,2020,Malware,Government,32.59,743344,Insider,Zero-day,VPN,4,43.84
China,2017,Phishing,Healthcare,70.4,651809,Unknown,Unpatched Software,Firewall,17,108.01
Brazil,2023,SQL Injection,Telecommunications,31.54,839281,Insider,Weak Passwords,Encryption,25,37.58
Brazil,2018,SQL Injection,Retail,84.79,99876,Insider,Unpatched Software,Firewall,56,848.95
UK,2016,SQL Injection,Telecommunications,98.39,836521,Insider,Weak Passwords,Firewall,19,117.62
Japan,2022,SQL Injection,Retail,43.73,392831,Nation-state,Weak Passwords,AI-based Detection,71,111.32
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60,874.82
Japan,2017,Malware,Education,26.24,945147,Insider,Zero-day,AI-based Detection,20,27.76
USA,2018,DDoS,IT,26.29,943039,Insider,Zero-day,Firewall,28,27.88
Brazil,2016,Malware,Retail,76.81,670642,Unknown,Unpatched Software,AI-based Detection,10,114.53
USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48,186.07
China,2022,Ransomware,Education,49.56,257224,Hacker Group,Social Engineering,Firewall,46,192.67
India,2019,DDoS,Banking,58.96,891815,Unknown,Weak Passwords,Antivirus,19,66.11
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16,581.5
UK,2016,Ransomware,Government,83.67,701152,Nation-state,Social Engineering,Firewall,53,119.33
USA,2023,SQL Injection,Banking,30.66,749609,Nation-state,Zero-day,AI-based Detection,28,40.9
UK,2024,Man-in-the-Middle,Government,86.74,658712,Hacker Group,Unpatched Software,VPN,25,131.68
China,2022,DDoS,Retail,77.74,642501,Hacker Group,Zero-day,AI-based Detection,19,121.0
Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62,113.37
China,2021,Ransomware,Government,5.96,92237,Nation-state,Weak Passwords,AI-based Detection,47,64.62
Australia,2023,Man-in-the-Middle,Telecommunications,66.91,156195,Nation-state,Unpatched Software,Firewall,58,428.37
India,2016,Man-in-the-Middle,IT,23.38,618125,Nation-state,Zero-day,VPN,16,37.82
Australia,2021,Man-in-the-Middle,Banking,82.04,828293,Insider,Weak Passwords,Antivirus,64,99.05
Brazil,2017,Malware,Telecommunications,6.09,436100,Unknown,Zero-day,Encryption,12,13.96
USA,2020,DDoS,Retail,14.12,787194,Unknown,Zero-day,VPN,51,17.94
France,2021,Phishing,Retail,31.52,380086,Nation-state,Social Engineering,Encryption,65,82.93
India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54,41.56
Australia,2017,SQL Injection,IT,99.99,672966,Hacker Group,Zero-day,Firewall,13,148.58
India,2022,Malware,Telecommunications,19.56,772330,Hacker Group,Unpatched Software,Encryption,20,25.33
Japan,2018,Man-in-the-Middle,Telecommunications,81.61,255844,Insider,Unpatched Software,Encryption,8,318.98
Germany,2017,Ransomware,Government,80.7,107009,Nation-state,Social Engineering,Encryption,67,754.14
Japan,2020,SQL Injection,Retail,10.41,872095,Nation-state,Unpatched Software,Firewall,44,11.94
France,2015,DDoS,Banking,85.36,50427,Hacker Group,Zero-day,Encryption,5,1692.74
USA,2017,Phishing,Retail,15.24,599197,Unknown,Zero-day,AI-based Detection,8,25.43
Brazil,2022,Malware,Telecommunications,40.08,459643,Nation-state,Weak Passwords,Antivirus,10,87.2
China,2021,DDoS,Telecommunications,10.2,950257,Nation-state,Weak Passwords,AI-based Detection,61,10.73
Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62,146.14
Brazil,2017,Man-in-the-Middle,Healthcare,96.36,596078,Hacker Group,Weak Passwords,Encryption,10,161.66
Brazil,2019,Ransomware,Banking,88.63,701522,Insider,Social Engineering,VPN,10,126.34
India,2015,Man-in-the-Middle,Healthcare,37.15,357124,Nation-state,Weak Passwords,Antivirus,31,104.03
Germany,2022,SQL Injection,Government,47.92,112688,Nation-state,Social Engineering,VPN,15,425.24
India,2018,Phishing,Retail,14.46,743107,Hacker Group,Social Engineering,VPN,49,19.46
India,2022,Man-in-the-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69,34.27
Japan,2019,Ransomware,Government,81.97,358572,Hacker Group,Weak Passwords,VPN,48,228.6
India,2024,Malware,IT,92.08,430701,Hacker Group,Unpatched Software,VPN,54,213.79
Russia,2021,DDoS,Banking,94.48,281900,Hacker Group,Zero-day,Antivirus,1,335.15
Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66,216.58
China,2019,Man-in-the-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43,294.38
Japan,2015,DDoS,IT,33.27,207244,Hacker Group,Zero-day,Antivirus,38,160.54
India,2018,Malware,Healthcare,66.96,294133,Insider,Social Engineering,VPN,20,227.65
Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58,1068.03
China,2024,Ransomware,Telecommunications,67.47,54722,Nation-state,Social Engineering,Encryption,13,1232.96
Australia,2022,Phishing,Education,17.32,178951,Nation-state,Weak Passwords,Antivirus,26,96.79
USA,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44,25.25
Russia,2016,SQL Injection,Education,17.05,888205,Nation-state,Weak Passwords,AI-based Detection,38,19.2
France,2022,Phishing,IT,52.19,794901,Insider,Zero-day,VPN,26,65.66
France,2018,DDoS,Government,27.44,978683,Insider,Zero-day,VPN,35,28.04
Australia,2015,Phishing,Telecommunications,73.77,639279,Nation-state,Zero-day,VPN,44,115.4
UK,2020,Malware,Retail,10.94,675338,Hacker Group,Weak Passwords,VPN,54,16.2
Australia,2021,Man-in-the-Middle,Government,42.24,147589,Insider,Unpatched Software,Antivirus,31,286.2
Australia,2017,DDoS,Government,82.39,646824,Hacker Group,Zero-day,AI-based Detection,2,127.38
China,2016,Phishing,Government,37.62,465317,Insider,Social Engineering,Firewall,20,80.85
USA,2023,Malware,IT,21.53,233379,Unknown,Unpatched Software,Antivirus,50,92.25
China,2023,Malware,IT,43.51,684108,Unknown,Weak Passwords,Firewall,24,63.6
Russia,2020,DDoS,Healthcare,44.32,130510,Unknown,Social Engineering,AI-based Detection,66,339.59
Brazil,2016,Man-in-the-Middle,Banking,43.45,489853,Nation-state,Zero-day,AI-based Detection,28,88.7
Australia,2022,Malware,Healthcare,47.92,25905,Nation-state,Unpatched Software,VPN,40,1849.84
Japan,2023,Malware,IT,73.74,795367,Hacker Group,Zero-day,AI-based Detection,55,92.71
Australia,2023,Man-in-the-Middle,Retail,93.25,349335,Nation-state,Zero-day,Firewall,27,266.94
USA,2015,Ransomware,Government,13.92,366147,Hacker Group,Weak Passwords,VPN,38,38.02
India,2018,Phishing,Government,41.1,25094,Nation-state,Unpatched Software,VPN,42,1637.84
Russia,2024,Phishing,Retail,44.08,988889,Nation-state,Unpatched Software,Encryption,31,44.58
Japan,2022,Man-in-the-Middle,IT,65.19,216303,Hacker Group,Unpatched Software,AI-based Detection,49,301.38
Australia,2023,Ransomware,Healthcare,21.54,388211,Nation-state,Weak Passwords,Antivirus,22,55.49
USA,2022,Man-in-the-Middle,Education,83.61,30235,Insider,Weak Passwords,Encryption,47,2765.34
USA,2023,Malware,Banking,13.99,109083,Nation-state,Weak Passwords,Antivirus,49,128.25
Germany,2017,Malware,Healthcare,49.09,397361,Hacker Group,Weak Passwords,Encryption,57,123.54
UK,2016,Ransomware,Retail,32.16,329026,Nation-state,Weak Passwords,VPN,31,97.74
Australia,2017,Man-in-the-Middle,IT,45.5,889521,Nation-state,Weak Passwords,Encryption,51,51.15
USA,2018,SQL Injection,Healthcare,73.16,849755,Insider,Weak Passwords,Encryption,46,86.1
China,2021,Phishing,Education,70.2,631101,Unknown,Zero-day,Firewall,36,111.23
Japan,2016,DDoS,Healthcare,10.62,625954,Insider,Weak Passwords,AI-based Detection,71,16.97
Japan,2023,Man-in-the-Middle,IT,26.65,220769,Unknown,Zero-day,VPN,71,120.71
China,2018,SQL Injection,Healthcare,52.01,527443,Hacker Group,Unpatched Software,Firewall,24,98.61
Germany,2020,DDoS,Government,32.71,846169,Hacker Group,Zero-day,VPN,59,38.66
China,2017,Malware,Education,47.46,783239,Unknown,Social Engineering,VPN,41,60.59
China,2022,Malware,Telecommunications,11.39,104772,Unknown,Social Engineering,Firewall,43,108.71
Germany,2015,DDoS,Telecommunications,31.68,33098,Hacker Group,Zero-day,AI-based Detection,8,957.16
UK,2024,Man-in-the-Middle,Healthcare,65.78,512847,Insider,Social Engineering,Encryption,72,128.26
Australia,2018,SQL Injection,Banking,71.01,840106,Insider,Weak Passwords,VPN,44,84.53
Brazil,2024,SQL Injection,Healthcare,69.57,269458,Insider,Zero-day,Firewall,15,258.18
Germany,2021,Ransomware,Healthcare,66.84,242893,Nation-state,Zero-day,Antivirus,50,275.18
Russia,2018,Phishing,Education,5.25,605947,Insider,Zero-day,Firewall,13,8.66
